MAE,RMSE,MSE,MAPE(%),R²,Unité,Forecast_2026/2027
13.0,13.0,169.0,108.33,,1,0.1
7.0,7.0,49.0,28.0,,2,21.0
4.0,4.0,16.0,33.33,,3,8.8
2.0,2.0,4.0,10.0,,4,19.5
2.0,2.0,4.0,25.0,,5,8.0
4.0,4.0,16.0,66.67,,6,9.2
